question_names	quiz	warning_msg	related_index
TRUE or FALSE: Files in your current working directory can only be listed from the R Console (and not the Terminal)	02_getting_data_07_managing_files_quiz.md	Colon detected in question on lines: 61 in question starting with:TRUE or FALSE: Files ... in quiz: 02_getting_data_07_managing_files_quiz.md	61
TRUE or FALSE: Files in your current working directory can be listed from both the Terminal and the R Console.	02_getting_data_07_managing_files_quiz.md	Colon detected in question on lines: 66, 73 in question starting with:TRUE or FALSE: Files ... in quiz: 02_getting_data_07_managing_files_quiz.md	NA
TRUE or FALSE: Files in your current working directory can be listed from both the Terminal and the R Console.	02_getting_data_07_managing_files_quiz.md	Exclamation point detected in answer for: TRUE or FALSE: Files ... in quiz: 02_getting_data_07_managing_files_quiz.md	73
Refer to the above diagram of a file system for this question. The current working directory is the `raw_code` directory. This directory contains 4 files: `tidy1.R`, `tidy2.R`, `trim1.R`, `trim2.R`. Which of the following commands will move only the `tidy1.R` and `tidy2.R` files out of this directory and into the `final_code` directory?	02_getting_data_07_managing_files_quiz.md	Colon detected in question on lines: 168 in question starting with:Refer to the above d ... in quiz: 02_getting_data_07_managing_files_quiz.md	168
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Managing Files`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_07_managing_files_quiz.md	Colon detected in question on lines: 184 in question starting with:Install [this lesson ... in quiz: 02_getting_data_07_managing_files_quiz.md	184
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Managing Files`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_07_managing_files_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 02_getting_data_07_managing_files_quiz.md	183
How would you install the package `forcats` (You can try this code on RStudio Cloud to verify!)?  	02_getting_data_08_intro_to_packages_quiz.md	Colon detected in question on lines: 13 in question starting with:How would you instal ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	13
How would you install the package `forcats` (You can try this code on RStudio Cloud to verify!)?  	02_getting_data_08_intro_to_packages_quiz.md	Exclamation point detected in answer for: How would you instal ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	13
`tuber` is a package on GitHub, written by the user 'soodoku'. How would you install the package `tuber` (You can try this code on RStudio Cloud to verify!)?  	02_getting_data_08_intro_to_packages_quiz.md	Colon detected in question on lines: 19, 20 in question starting with:`tuber` is a package ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	NA
`tuber` is a package on GitHub, written by the user 'soodoku'. How would you install the package `tuber` (You can try this code on RStudio Cloud to verify!)?  	02_getting_data_08_intro_to_packages_quiz.md	Exclamation point detected in answer for: `tuber` is a package ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	NA
Once `tuber` has been successfully installed, how would you make the functions in tuber available to you in RStudio?	02_getting_data_08_intro_to_packages_quiz.md	Colon detected in question on lines: 33, 34, 41, 43 in question starting with:Once `tuber` has bee ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	NA
Once `tuber` has been successfully installed, how would you make the functions in tuber available to you in RStudio?	02_getting_data_08_intro_to_packages_quiz.md	Exclamation point detected in answer for: Once `tuber` has bee ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	NA
Which of the following pieces of code would solve this error?	02_getting_data_08_intro_to_packages_quiz.md	Colon detected in question on lines: 47, 49 in question starting with:Which of the followi ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	NA
Which of the following pieces of code would solve this error?	02_getting_data_08_intro_to_packages_quiz.md	Exclamation point detected in answer for: Which of the followi ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	NA
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `R Packages`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_08_intro_to_packages_quiz.md	Colon detected in question on lines: 63 in question starting with:Install [this lesson ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	63
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `R Packages`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_08_intro_to_packages_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 02_getting_data_08_intro_to_packages_quiz.md	62
Click on this link to open the [""R Markdown Cheatsheet""](https://posit.co/wp-content/uploads/2022/10/rmarkdown-1.pdf){target=""_blank""}, take a look at the ""Dynamic Documents"" section. Which type of file is NOT a possible output from an R Markdown document?	02_getting_data_09_Rmarkdowns_quiz.md	Colon detected in question on lines: 57 in question starting with:Click on this link t ... in quiz: 02_getting_data_09_Rmarkdowns_quiz.md	57
Click on this link to open the [""R Markdown Cheatsheet""](https://posit.co/wp-content/uploads/2022/10/rmarkdown-1.pdf){target=""_blank""}, take a look at the "".Rmd structure"" section. Which type of file is NOT a part of the typical Rmd structure?	02_getting_data_09_Rmarkdowns_quiz.md	Colon detected in question on lines: 69 in question starting with:Click on this link t ... in quiz: 02_getting_data_09_Rmarkdowns_quiz.md	69
Click on this link to open the [""R Markdown Cheatsheet""](https://posit.co/wp-content/uploads/2022/10/rmarkdown-1.pdf){target=""_blank""}, take a look at the ""Embed code with knitr syntax"" section. What option would you use to display code in the output document?	02_getting_data_09_Rmarkdowns_quiz.md	Colon detected in question on lines: 79 in question starting with:Click on this link t ... in quiz: 02_getting_data_09_Rmarkdowns_quiz.md	79
Click on this link to open the [""R Markdown Cheatsheet""](https://posit.co/wp-content/uploads/2022/10/rmarkdown-1.pdf){target=""_blank""}, take a look at the ""Embed code with knitr syntax"" section. What option would you use to run code in a code chunk?	02_getting_data_09_Rmarkdowns_quiz.md	Colon detected in question on lines: 90 in question starting with:Click on this link t ... in quiz: 02_getting_data_09_Rmarkdowns_quiz.md	90
TRUE or FALSE: Your computer knows that .r and .R files are the same type of file.	02_getting_data_10_datafiles_quiz.md	Colon detected in question on lines: 35 in question starting with:TRUE or FALSE: Your  ... in quiz: 02_getting_data_10_datafiles_quiz.md	35
TRUE or FALSE: Your computer thinks that .r and .R files are two different types of file.	02_getting_data_10_datafiles_quiz.md	Colon detected in question on lines: 40 in question starting with:TRUE or FALSE: Your  ... in quiz: 02_getting_data_10_datafiles_quiz.md	40
TRUE or FALSE: When reading in a file ""file.r"" into R, if you type ""file.R"", your code will know what file to read in.	02_getting_data_10_datafiles_quiz.md	Colon detected in question on lines: 45 in question starting with:TRUE or FALSE: When  ... in quiz: 02_getting_data_10_datafiles_quiz.md	45
TRUE or FALSE: When reading in a file ""file.r"" into R, if you type ""file.R"", your code will *not* know what file to read in.	02_getting_data_10_datafiles_quiz.md	Colon detected in question on lines: 50 in question starting with:TRUE or FALSE: When  ... in quiz: 02_getting_data_10_datafiles_quiz.md	50
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Data Files`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_10_datafiles_quiz.md	Colon detected in question on lines: 105 in question starting with:Install [this lesson ... in quiz: 02_getting_data_10_datafiles_quiz.md	105
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_02_Getting_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_02_Getting_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_02_Getting_Data`. Then, navigate to the lesson `Data Files`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	02_getting_data_10_datafiles_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 02_getting_data_10_datafiles_quiz.md	104
Please paste the link to the Google Sheet with your Leanpub data. (Reminder: This sheet should contain data collected from Leanpub. It should not contain any personal information.)	02_getting_data_13_google_sheets_quiz.md	Colon detected in question on lines: 29 in question starting with:Please paste the lin ... in quiz: 02_getting_data_13_google_sheets_quiz.md	29
Please paste the link to the Google Sheet with your Leanpub data. (Reminder: This sheet should contain data collected from Leanpub. It should not contain any personal information.)	02_getting_data_13_google_sheets_quiz.md	No incorrect answer options provided for Please paste the lin ... in quiz: 02_getting_data_13_google_sheets_quiz.md	28
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Reshaping Data`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_02_reshapingdata_quiz.md	Colon detected in question on lines: 36 in question starting with:Install [this lesson ... in quiz: 03_cleaning_data_02_reshapingdata_quiz.md	36
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Reshaping Data`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_02_reshapingdata_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 03_cleaning_data_02_reshapingdata_quiz.md	35
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Tidying Data`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_03_tidyingdata_quiz.md	Colon detected in question on lines: 126 in question starting with:Install [this lesson ... in quiz: 03_cleaning_data_03_tidyingdata_quiz.md	126
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Tidying Data`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_03_tidyingdata_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 03_cleaning_data_03_tidyingdata_quiz.md	125
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Joining Data`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_04_joining_data_quiz.md	Colon detected in question on lines: 21 in question starting with:Install [this lesson ... in quiz: 03_cleaning_data_04_joining_data_quiz.md	21
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Joining Data`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_04_joining_data_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 03_cleaning_data_04_joining_data_quiz.md	20
Using, str_view_all(), how would you only highlight strings that start with a vowel?	03_cleaning_data_05_working_with_strings_quiz.md	No incorrect answer options provided for Using, str_view_all( ... in quiz: 03_cleaning_data_05_working_with_strings_quiz.md	98
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Working with Strings`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_05_working_with_strings_quiz.md	Colon detected in question on lines: 105 in question starting with:Install [this lesson ... in quiz: 03_cleaning_data_05_working_with_strings_quiz.md	105
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Working with Strings`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_05_working_with_strings_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 03_cleaning_data_05_working_with_strings_quiz.md	104
Assuming you have a dataframe (`df`) with two columns: `car`, and `size`, what would the code `df %>% fct_reorder(car, size)` accomplish?	03_cleaning_data_06_working_with_factors_quiz.md	Colon detected in question on lines: 25 in question starting with:Assuming you have a  ... in quiz: 03_cleaning_data_06_working_with_factors_quiz.md	25
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Working with Factors`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_06_working_with_factors_quiz.md	Colon detected in question on lines: 47 in question starting with:Install [this lesson ... in quiz: 03_cleaning_data_06_working_with_factors_quiz.md	47
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Working with Factors`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_06_working_with_factors_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 03_cleaning_data_06_working_with_factors_quiz.md	46
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Working with Dates`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_07_working_with_dates_quiz.md	Colon detected in question on lines: 88 in question starting with:Install [this lesson ... in quiz: 03_cleaning_data_07_working_with_dates_quiz.md	88
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_03_Cleaning_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_03_Cleaning_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_03_Cleaning_the_Data`. Then, navigate to the lesson `Working with Dates`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	03_cleaning_data_07_working_with_dates_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 03_cleaning_data_07_working_with_dates_quiz.md	87
If you were to run the following code, what color would the points be?: `ggplot(data = diamonds, aes(x = carat, y = price, color = ""blue"")) + geom_point()`	04_plot_the_data_02_ggplot2_quiz.md	Colon detected in question on lines: 64 in question starting with:If you were to run t ... in quiz: 04_plot_the_data_02_ggplot2_quiz.md	64
If you were to run the following code, what color would the points be?: `ggplot(data = diamonds, aes(x = carat, y = price), color = ""blue"") + geom_point()`	04_plot_the_data_02_ggplot2_quiz.md	Colon detected in question on lines: 75 in question starting with:If you were to run t ... in quiz: 04_plot_the_data_02_ggplot2_quiz.md	75
If you were to run the following code, what color would the points be?: `ggplot(data = diamonds, aes(x = carat, y = price)) + geom_point(color = ""blue"")`	04_plot_the_data_02_ggplot2_quiz.md	Colon detected in question on lines: 86 in question starting with:If you were to run t ... in quiz: 04_plot_the_data_02_ggplot2_quiz.md	86
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_04_Plot_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_04_Plot_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_04_Plot_the_Data`. Then, navigate to the lesson `Intro to ggplot2`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	04_plot_the_data_02_ggplot2_quiz.md	Colon detected in question on lines: 113 in question starting with:Install [this lesson ... in quiz: 04_plot_the_data_02_ggplot2_quiz.md	113
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_04_Plot_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_04_Plot_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_04_Plot_the_Data`. Then, navigate to the lesson `Intro to ggplot2`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	04_plot_the_data_02_ggplot2_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 04_plot_the_data_02_ggplot2_quiz.md	112
Explore the `ggthemes` package by clicking on [this link](https://mran.microsoft.com/snapshot/2016-12-03/web/packages/ggthemes/vignettes/ggthemes.html){target=""_blank""}), which theme is based on the scales and colors used at [www.fivethirtyeight.com](www.fivethirtyeight.com){target=""_blank""}.	04_plot_the_data_03_customization_quiz.md	Colon detected in question on lines: 62 in question starting with:Explore the `ggtheme ... in quiz: 04_plot_the_data_03_customization_quiz.md	62
Explore the `ggthemes` package by clicking on [this link](https://mran.microsoft.com/snapshot/2016-12-03/web/packages/ggthemes/vignettes/ggthemes.html){target=""_blank""}), which theme is based on the scales and colors used at Google Docs.	04_plot_the_data_03_customization_quiz.md	Colon detected in question on lines: 75 in question starting with:Explore the `ggtheme ... in quiz: 04_plot_the_data_03_customization_quiz.md	75
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_04_Plot_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_04_Plot_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_04_Plot_the_Data`. Then, navigate to the lesson `Customization in ggplot2`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	04_plot_the_data_03_customization_quiz.md	Colon detected in question on lines: 110 in question starting with:Install [this lesson ... in quiz: 04_plot_the_data_03_customization_quiz.md	110
Install [this lesson's swirl course](http://swirlstats.com/scn/DataTrail_04_Plot_the_Data.html) (if you have not yet) with the following command in R: `swirl::install_course(""DataTrail_04_Plot_the_Data"")`. Use the `swirl()` function and navigate to the course: `DataTrail_04_Plot_the_Data`. Then, navigate to the lesson `Customization in ggplot2`. Complete this swirl module. Once complete, paste the code provided at the end of the swirl module here.	04_plot_the_data_03_customization_quiz.md	No incorrect answer options provided for Install [this lesson ... in quiz: 04_plot_the_data_03_customization_quiz.md	109
